RouteNo,CollDay,DistrictID,Address,ContaminationType,RouteID,WeekNum,Area,Date
AR-1,Mon,206,10722 N Mt.Gleason Av,E,1,1,East Valley,
AR-1,Mon,206,10722 N Mt.Gleason Av,I,1,1,East Valley,
AR-1,Mon,206,10723  Woodward Av,G,1,1,East Valley,
AR-1,Mon,206,10723  Woodward Av,J,1,1,East Valley,
AR-1,Mon,206,10734 N Mt.Gleason Av,J,1,1,East Valley,
AR-1,Mon,206,10742  Nassau Av,J,1,1,East Valley,
AR-1,Mon,206,10742  Nassau Av,K,1,1,East Valley,
AR-1,Mon,206,10804  Mather Av,A,1,1,East Valley,
AR-1,Mon,206,10812 N Mt.Gleason Av,J,1,1,East Valley,
AR-1,Mon,206,10812 N Mt.Gleason Av,O,1,1,East Valley,
AR-1,Mon,206,10818  Mather Av,J,1,1,East Valley,
AR-1,Mon,206,10826  Nassau Av,D,1,1,East Valley,
AR-1,Mon,206,10830  Nassau Av,E,1,1,East Valley,
AR-1,Mon,206,10844  Mt.Gleason Av,D,1,1,East Valley,
AR-1,Mon,206,10858  Mather Av,E,1,1,East Valley,
AR-1,Mon,206,10914  Mather Av,J,1,1,East Valley,
AR-1,Mon,206,10943  Irma Av,C,1,1,East Valley,
AR-1,Mon,206,10943  Irma Av,E,1,1,East Valley,
AR-1,Mon,206,10954 N Whitegate Av,D,1,1,East Valley,
AR-1,Mon,206,10955 N Whitegate Av,E,1,1,East Valley,
AR-1,Mon,206,10967  Christine Wy,C,1,1,East Valley,
AR-1,Mon,206,11042  Langmuir Av,D,1,1,East Valley,
AR-1,Mon,206,11049  Rhodesia Av,J,1,1,East Valley,
AR-1,Mon,206,11100  Woodward Av,D,1,1,East Valley,
AR-1,Mon,206,11482  Sierra Ranch View Rd,E,1,1,East Valley,
AR-1,Mon,206,11509  Dellmont Dr,E,1,1,East Valley,
AR-1,Mon,206,11509  Dellmont Dr,Q,1,1,East Valley,
AR-1,Mon,206,11544  Shelly Vista Dr,E,1,1,East Valley,
AR-1,Mon,206,7640  Wentworth St,E,1,1,East Valley,
AR-1,Mon,206,7701 N Jayseel St,J,1,1,East Valley,
AR-1,Mon,206,7718 N Jayseel St,J,1,1,East Valley,
AR-1,Mon,206,7726  Wentworth St,E,1,1,East Valley,
AR-1,Mon,206,7728  Denivelle Rd,N,1,1,East Valley,
AR-1,Mon,206,7820  Forsythe St,I,1,1,East Valley,
AR-1,Mon,206,7820  Forsythe St,J,1,1,East Valley,
AR-1,Mon,206,7909  Forsythe St,D,1,1,East Valley,
AR-1,Mon,206,7915  Kyle St,Q,1,1,East Valley,
AR-1,Mon,206,7937  Wentworth St,D,1,1,East Valley,
AR-1,Mon,206,7942  Le Berthon St,J,1,1,East Valley,
AR-1,Mon,206,8015  Grove St,J,1,1,East Valley,
AR-1,Mon,206,8036  Graystone St,J,1,1,East Valley,
AR-1,Mon,206,8129  Ellenbogen St,G,1,1,East Valley,
AR-1,Mon,206,10700  Rhodesia Av,J,1,2,East Valley,
AR-1,Mon,206,10700  Rhodesia Av,Q,1,2,East Valley,
AR-1,Mon,206,10724  Nassau Av,J,1,2,East Valley,
AR-1,Mon,206,10742  Nassau Av,D,1,2,East Valley,
AR-1,Mon,206,10742  Nassau Av,Q,1,2,East Valley,
AR-1,Mon,206,10850  Mather Av,J,1,2,East Valley,
AR-1,Mon,206,10850  Mather Av,Q,1,2,East Valley,
AR-1,Mon,206,10853  Nassau Av,E,1,2,East Valley,
AR-1,Mon,206,10858  Mather Av,E,1,2,East Valley,
AR-1,Mon,206,10862  Mather Av,D,1,2,East Valley,
